=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2020.03.10 14:20:57 =~=~=~=~=~=~=~=~=~=~=~=
Current Pitch is:	2.111572 degrees
Current Roll is:	-0.993788 degrees
Current Pitch is:	2.129730 degrees
Current Roll is:	-1.001763 degrees
Current Pitch is:	2.147877 degrees
Current Roll is:	-1.009912 degrees
Current Pitch is:	2.165738 degrees
Current Roll is:	-1.018043 degrees
Current Pitch is:	2.183150 degrees
Current Roll is:	-1.027365 degrees
Current Pitch is:	2.201157 degrees
Current Roll is:	-1.035645 degrees
Current Pitch is:	2.217700 degrees
Current Roll is:	-1.043029 degrees
Current Pitch is:	2.236296 degrees
Current Roll is:	-1.052335 degrees
Current Pitch is:	2.254143 degrees
Current Roll is:	-1.060056 degrees
Current Pitch is:	2.270971 degrees
Current Roll is:	-1.068781 degrees
Current Pitch is:	2.288375 degrees
Current Roll is:	-1.077827 degrees
Current Pitch is:	2.306085 degrees
Current Roll is:	-1.085965 degrees
Current Pitch is:	2.323790 degrees
Current Roll is:	-1.093966 degrees
Current Pitch is:	2.341613 degrees
Current Roll is:	-1.102913 degrees
Current Pitch is:	2.359312 degrees
Current Roll is:	-1.111369 degrees
Current Pitch is:	2.377444 degrees
Current Roll is:	-1.119547 degrees
Current Pitch is:	2.394410 degrees
Current Roll is:	-1.127851 degrees
Current Pitch is:	2.411518 degrees
Current Roll is:	-1.135724 degrees
Current Pitch is:	2.428625 degrees
Current Roll is:	-1.144189 degrees
Current Pitch is:	2.445423 degrees
Current Roll is:	-1.152094 degrees
Current Pitch is:	2.463097 degrees
Current Roll is:	-1.160163 degrees
Current Pitch is:	2.479018 degrees
Current Roll is:	-1.168204 degrees
Current Pitch is:	2.495962 degrees
Current Roll is:	-1.176556 degrees
Current Pitch is:	2.513066 degrees
Current Roll is:	-1.184732 degrees
Current Pitch is:	2.530308 degrees
Current Roll is:	-1.193659 degrees
Current Pitch is:	2.547237 degrees
Current Roll is:	-1.202483 degrees
Current Pitch is:	2.564601 degrees
Current Roll is:	-1.210729 degrees
Current Pitch is:	2.580794 degrees
Current Roll is:	-1.217642 degrees
Current Pitch is:	2.597883 degrees
Current Roll is:	-1.225408 degrees
Current Pitch is:	2.615382 degrees
Current Roll is:	-1.235003 degrees
Current Pitch is:	2.632774 degrees
Current Roll is:	-1.243485 degrees
Current Pitch is:	2.649263 degrees
Current Roll is:	-1.250834 degrees
Current Pitch is:	2.666028 degrees
Current Roll is:	-1.258075 degrees
Current Pitch is:	2.683680 degrees
Current Roll is:	-1.267364 degrees
Current Pitch is:	2.701042 degrees
Current Roll is:	-1.275173 degrees
Current Pitch is:	2.718255 degrees
Current Roll is:	-1.283721 degrees
Current Pitch is:	2.735892 degrees
Current Roll is:	-1.292162 degrees
Current Pitch is:	2.753984 degrees
Current Roll is:	-1.300130 degrees
Current Pitch is:	2.771202 degrees
Current Roll is:	-1.308668 degrees
Current Pitch is:	2.787833 degrees
Current Roll is:	-1.317939 degrees
Current Pitch is:	2.805321 degrees
Current Roll is:	-1.325351 degrees
Current Pitch is:	2.822078 degrees
Current Roll is:	-1.334812 degrees
Current Pitch is:	2.839730 degrees
Current Roll is:	-1.343660 degrees
Current Pitch is:	2.856620 degrees
Current Roll is:	-1.353004 degrees
Current Pitch is:	2.873354 degrees
Current Roll is:	-1.361336 degrees
Current Pitch is:	2.890706 degrees
Current Roll is:	-1.370195 degrees
Current Pitch is:	2.907755 degrees
Current Roll is:	-1.378190 degrees
Current Pitch is:	2.924938 degrees
Current Roll is:	-1.386211 degrees
Current Pitch is:	2.941690 degrees
Current Roll is:	-1.393919 degrees
Current Pitch is:	2.959009 degrees
Current Roll is:	-1.402698 degrees
Current Pitch is:	2.967579 degrees
Current Roll is:	-1.416761 degrees
Current Pitch is:	2.984183 degrees
Current Roll is:	-1.427257 degrees
Current Pitch is:	3.002844 degrees
Current Roll is:	-1.436287 degrees
Current Pitch is:	3.020628 degrees
Current Roll is:	-1.444570 degrees
Current Pitch is:	3.052107 degrees
Current Roll is:	-1.430181 degrees
Current Pitch is:	3.073287 degrees
Current Roll is:	-1.432422 degrees
Current Pitch is:	3.090573 degrees
Current Roll is:	-1.441915 degrees
Current Pitch is:	3.125770 degrees
Current Roll is:	-1.440532 degrees
Current Pitch is:	3.147929 degrees
Current Roll is:	-1.446128 degrees
Current Pitch is:	3.174820 degrees
Current Roll is:	-1.444615 degrees
Current Pitch is:	3.172243 degrees
Current Roll is:	-1.465639 degrees
Current Pitch is:	3.217749 degrees
Current Roll is:	-1.441484 degrees
Current Pitch is:	3.232176 degrees
Current Roll is:	-1.451077 degrees
Current Pitch is:	3.262247 degrees
Current Roll is:	-1.445999 degrees
Current Pitch is:	3.294714 degrees
Current Roll is:	-1.439199 degrees
Current Pitch is:	3.301081 degrees
Current Roll is:	-1.455943 degrees
Current Pitch is:	3.319307 degrees
Current Roll is:	-1.460163 degrees
Current Pitch is:	3.335204 degrees
Current Roll is:	-1.469473 degrees
Current Pitch is:	3.357455 degrees
